Trait,Sex,V(G),V(e),Vp,V(G)/Vp,SE_V(G),SE_V(e),SE_Vp,SE_V(G)/Vp,Trait guild,Trait description,Reference
triglyceride.high.glucose.diet,Male,0,1.26,1.26,0,0.4,0.8,0.42,0.32,Metabolome,Mean triglycerides (mg/ul) extracted from 10 flies that were reared on a diet containing 10% glucose. Higher values indicate greater levels of triglycerides.,"Unckless, Rottschaefer and Lazzaro (2015) PLOS Genetics"
triglyceride.low.glucose.diet,Male,0,0.96,0.96,0,0.15,0.32,0.19,0.16,Metabolome,Mean triglycerides (mg/ul) extracted from 10 flies that were reared on a diet containing 2.5% glucose. Higher values indicate greater levels of triglycerides.,"Unckless, Rottschaefer and Lazzaro (2015) PLOS Genetics"
triglyceride.medium.glucose.diet,Male,0,1.03,1.03,0,0.19,0.4,0.23,0.19,Metabolome,Mean triglycerides (mg/ul) extracted from 10 flies that were reared on a diet containing 5% glucose. Higher values indicate greater levels of triglycerides.,"Unckless, Rottschaefer and Lazzaro (2015) PLOS Genetics"
triglyceride.poor.diet,Female,0.08,0.84,0.92,0.09,0.22,0.44,0.23,0.26,Metabolome,Mean quantity of triglyceride extracted from whole fly homogenate and standardised for body size. Three flies reared on food with 0.5% yeast content (dietary restricted) were homogenised. Higher values indicate higher triglyceride levels.,Nelson et al (2016) BMC Genomics
triglyceride.yeast.rich.diet,Female,0.18,0.64,0.82,0.22,0.22,0.43,0.22,0.32,Metabolome,Mean quantity of triglyceride extracted from whole fly homogenate and standardised for body size. Three flies reared on food with 5% yeast content (ab libitum diet) were homogenised. Higher values indicate higher triglyceride levels.,Nelson et al (2016) BMC Genomics
trimethylamine.high.yeast,Female,0.1,0.81,0.9,0.11,0.16,0.33,0.18,0.2,Metabolome,Mean relative trimethylamine concentration extracted from 3 flies that lived as adults on a diet containing 5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).,Jin et al (2020) PLOS Genetics
trimethylamine.low.yeast,Female,0,1.06,1.06,0,0.17,0.36,0.21,0.16,Metabolome,Mean relative trimethylamine concentration extracted from 3 flies that lived as adults on a diet containing 0.5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).,Jin et al (2020) PLOS Genetics
tryptophan.high.yeast,Female,0.04,0.91,0.96,0.04,0.12,0.26,0.16,0.13,Metabolome,Mean relative tryptophan concentration extracted from 3 flies that lived as adults on a diet containing 5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).,Jin et al (2020) PLOS Genetics
tryptophan.low.yeast,Female,0.22,0.55,0.76,0.28,0.12,0.23,0.13,0.19,Metabolome,Mean relative tryptophan concentration extracted from 3 flies that lived as adults on a diet containing 0.5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).,Jin et al (2020) PLOS Genetics
tunicamycin.ER.stress,Male,0.27,0.48,0.74,0.36,0.2,0.39,0.21,0.36,Drug response,"The hazard ratio of the death rate of male flies exposed to tunicamycin - an endoplasmic reticulum (ER) stress inducing drug – with the control group, fed drug free media. Higher values indicate greater ER stress and lower survival of flies exposed to tunicamycin.","Chow, Wolfner and Clark (2013) PNAS"
tunicamycin.LT50,Male,0.19,0.64,0.82,0.23,0.24,0.47,0.25,0.35,Drug response,Mean time required for 50% of male flies exposed to tunicamycin (TM) media to die. TM is an antibiotic that causes endoplasmic reticulum (ER) stress. Higher values indicate longer survival times and greater resistance to ER stress.,"Chow, Wolfner and Clark (2013) PNAS"
tyrosine.high.yeast,Female,0.45,0.12,0.57,0.79,0.14,0.23,0.12,0.37,Metabolome,Mean relative tyrosine concentration extracted from 3 flies that lived as adults on a diet containing 5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).,Jin et al (2020) PLOS Genetics
tyrosine.low.yeast,Female,0.27,0.45,0.72,0.38,0.16,0.31,0.16,0.29,Metabolome,Mean relative tyrosine concentration extracted from 3 flies that lived as adults on a diet containing 0.5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).,Jin et al (2020) PLOS Genetics
NA,Pooled,0.46,0.07,0.53,0.87,0.42,0.8,0.4,1.42,Reproduction,Proportion of unfertilised eggs produced by 3-4 flies that had been allowed to mate for at least two days beforehand. Note that flies were kept in population cages that contained both sexes from the same line during the mating period. This means that genetic variance in this trait variation could be explained by either the male or female genotype. Higher values indicate a greater proportion of unfertilised eggs.,Horvath and Kalinka (2018) Evolution
uracil.high.yeast,Female,0.33,0.35,0.68,0.48,0.16,0.29,0.15,0.33,Metabolome,Mean relative uracil concentration extracted from 3 flies that lived as adults on a diet containing 5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).,Jin et al (2020) PLOS Genetics
uracil.low.yeast,Female,0.2,0.6,0.8,0.25,0.14,0.28,0.16,0.22,Metabolome,Mean relative uracil concentration extracted from 3 flies that lived as adults on a diet containing 0.5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).,Jin et al (2020) PLOS Genetics
urate.high.yeast,Female,0.29,0.41,0.71,0.41,0.16,0.29,0.15,0.3,Metabolome,Mean relative urate concentration extracted from 3 flies that lived as adults on a diet containing 5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).,Jin et al (2020) PLOS Genetics
urate.low.yeast,Female,0.46,0,0.46,1,0.11,0.18,0.09,0.4,Metabolome,Mean relative urate concentration extracted from 3 flies that lived as adults on a diet containing 0.5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).,Jin et al (2020) PLOS Genetics
uridine.high.yeast,Female,0.17,0.65,0.82,0.21,0.16,0.31,0.17,0.22,Metabolome,Mean relative uridine concentration extracted from 3 flies that lived as adults on a diet containing 5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).,Jin et al (2020) PLOS Genetics
uridine.low.yeast,Female,0,1.03,1.03,0,0.16,0.33,0.19,0.15,Metabolome,Mean relative uridine concentration extracted from 3 flies that lived as adults on a diet containing 0.5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).,Jin et al (2020) PLOS Genetics
valine.high.yeast,Female,0.03,0.94,0.97,0.03,0.14,0.31,0.18,0.15,Metabolome,Mean relative valine concentration extracted from 3 flies that lived as adults on a diet containing 5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).,Jin et al (2020) PLOS Genetics
valine.low.yeast,Female,0.23,0.52,0.75,0.31,0.14,0.27,0.15,0.24,Metabolome,Mean relative valine concentration extracted from 3 flies that lived as adults on a diet containing 0.5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).,Jin et al (2020) PLOS Genetics
virgin.egg.retention,Female,0.16,0.68,0.84,0.19,0.36,0.72,0.38,0.51,Reproduction,"Mean unfertilised egg retention time, measured as the number of days before a virgin female laid her first egg. Higher values indicate a longer retention time.",Akhund-Zade et al (2017) Journal of Insect Science
waking.activity,Female,0.2,0.59,0.79,0.25,0.24,0.47,0.24,0.37,Activity,"Mean number of times the fly crossed the infrared beam used to measure activity, divided by the total time spent awake. Higher values indicate more active lines.","Harbison, McCoy and Mackay (2013) BMC Genomics"
waking.activity,Male,0.43,0.17,0.6,0.72,0.19,0.33,0.17,0.49,Activity,"Mean number of times the fly crossed the infrared beam used to measure activity, divided by the total time spent awake. Higher values indicate more active lines.","Harbison, McCoy and Mackay (2013) BMC Genomics"
waking.activity.SD,Female,0,1.17,1.17,0,0.25,0.52,0.28,0.22,Activity,"Standard deviation for the number of times the fly crossed the infrared beam used to measure activity, divided by the total time spent awake. Standard deviations are used to estimate the inter-individual variation in sleep. Higher values indicate more variable within-individual activity. Note that this study reanalyses the data collected in Harbison, McCoy and Mackay (2013).",Wu et al (2018) SLEEPJ
waking.activity.SD,Male,0.26,0.49,0.75,0.35,0.25,0.48,0.24,0.43,Activity,"Standard deviation for the number of times the fly crossed the infrared beam used to measure activity, divided by the total time spent awake. Standard deviations are used to estimate the inter-individual variation in sleep. Higher values indicate more variable within-individual activity. Note that this study reanalyses the data collected in Harbison, McCoy and Mackay (2013).",Wu et al (2018) SLEEPJ
week1.fecundity.25C,Female,0.06,0.9,0.96,0.06,0.17,0.35,0.19,0.19,Reproduction,"Mean fecundity in the first week of a female's adult life, measured as a 2-day total of eggs laid, when living with a single standard male, at 25C. Higher values indicate greater fecundity.",Durham et al (2014) Nature Communications
week3.fecundity.25C,Female,0.3,0.42,0.72,0.42,0.18,0.34,0.18,0.34,Reproduction,"Mean fecundity in the third week of a female's adult life, measured as a 2-day total of eggs laid, when living with a single standard male, at 25C. Higher values indicate greater fecundity.",Durham et al (2014) Nature Communications
week5.fecundity.25C,Female,0,1.06,1.06,0,0.23,0.48,0.26,0.22,Reproduction,"Mean fecundity in the fifth week of a female's adult life, measured as a 2-day total of eggs laid, when living with a single standard male, at 25C. Higher values indicate greater fecundity. Note that female's were eliminated form the analysis upon death.",Durham et al (2014) Nature Communications
week7.fecundity.25C,Female,0,1.31,1.31,0,0.52,1.04,0.54,0.4,Reproduction,"Mean fecundity in the seventh week of a female's adult life, measured as a 2-day total of eggs laid, when living with a single standard male, at 25C. Higher values indicate greater fecundity. Note that female's were eliminated form the analysis upon death.",Durham et al (2014) Nature Communications
weight.anexic,Male,0.3,0,0.3,1,0.12,0.21,0.11,0.72,Metabolome,Mean combined dry weight of 5 adult flies that lacked a microbiome. All micro-organisms were purged from egg-surfaces via dechorionation and larvae were reared on sterile food. Higher values indicate heavier flies.,Dobson et al (2015) Nature Communications
weight.gnotobiotic,Male,0.31,0.37,0.68,0.46,0.18,0.33,0.18,0.35,Metabolome,"Mean combined dry weight of 5 adult flies that possessed a microbiome. All micro-organisms were purged from egg-surfaces via dechorionation and larvae were reared on medium supplemented with Acetobacter pomorum, Acetobacter tropicalis, Lactobacillus brevis, Lactobacillus fructivorans and Lactobacillus plantarum. All are common commensal bacteria that make up a large proportion of the D. melanogaster microbiome. Higher values indicate heavier flies.",Dobson et al (2015) Nature Communications
weight.high.glucose.diet,Male,0.18,0.65,0.83,0.22,0.24,0.47,0.25,0.35,Morphological,Mean weight (mg) of live flies that were reared on a diet containing 10% glucose. Higher values indicate heavier flies.,"Unckless, Rottschaefer and Lazzaro (2015) PLOS Genetics"
weight.low.glucose.diet,Male,0.4,0.18,0.57,0.69,0.17,0.32,0.16,0.47,Morphological,Mean weight (mg) of live flies that were reared on a diet containing 2.5% glucose. Higher values indicate heavier flies.,"Unckless, Rottschaefer and Lazzaro (2015) PLOS Genetics"
