Trait,V(G),V(e),Vp,V(G)/Vp,SE_V(G),SE_V(e),SE_Vp,SE_V(G)/Vp,Sex,Trait guild,Trait description,Reference
RCH.25C.m,0.12,0.76,0.89,0.14,0.16,0.33,0.18,0.21,Male,Physiological,"Rapid cold hardening; a type of phenotypic plasticity that allows ectotherms to quickly enhance cold tolerance in response to brief chilling (lasting minutes to hours). This was measured by exposing one group of flies to a mild pre-treatment temperature (4 degrees C) before exposing them to a cold temperature (-6 degrees C), while another group of flies was immediately exposed to the cold temperature. RCH = prop survival after hardening – prop survival without hardening. These flies were reared at 25C. Higher values indicate a greater plastic response.",Gerken et al (2015) PNAS
RCH.old.f,0.47,0,0.47,1,0.22,0.39,0.19,0.83,Female,Physiological,"Rapid cold hardening; a type of phenotypic plasticity that allows ectotherms to quickly enhance cold tolerance in response to brief chilling (lasting minutes to hours). This was measured by exposing one group of flies to a mild pre-treatment temperature (4 degrees C) before exposing them to a cold temperature (-6 degrees C), while another group of flies was immediately exposed to the cold temperature. RCH = prop survival after hardening – prop survival without hardening. These flies were reared at 25C and RCH was measured when adults were 28-days old. Higher values indicate a greater plastic response.",Everman and Morgan (2017) Evolution
RCH.old.m,0.36,0,0.36,1,0.15,0.28,0.14,0.77,Male,Physiological,"Rapid cold hardening; a type of phenotypic plasticity that allows ectotherms to quickly enhance cold tolerance in response to brief chilling (lasting minutes to hours). This was measured by exposing one group of flies to a mild pre-treatment temperature (4 degrees C) before exposing them to a cold temperature (-6 degrees C), while another group of flies was immediately exposed to the cold temperature. RCH = prop survival after hardening – prop survival without hardening. These flies were reared at 25C and RCH was measured when adults were 28-days old. Higher values indicate a greater plastic response.",Everman and Morgan (2017) Evolution
RCH.young.f,0,1.28,1.28,0,0.44,0.88,0.47,0.34,Female,Physiological,"Rapid cold hardening; a type of phenotypic plasticity that allows ectotherms to quickly enhance cold tolerance in response to brief chilling (lasting minutes to hours). This was measured by exposing one group of flies to a mild pre-treatment temperature (4 degrees C) before exposing them to a cold temperature (-6 degrees C), while another group of flies was immediately exposed to the cold temperature. RCH = prop survival after hardening – prop survival without hardening. These flies were reared at 25C and RCH was measured when adults were 7-days old. Higher values indicate a greater plastic response.",Everman and Morgan (2017) Evolution
RCH.young.m,0.07,0.85,0.93,0.08,0.26,0.54,0.29,0.3,Male,Physiological,"Rapid cold hardening; a type of phenotypic plasticity that allows ectotherms to quickly enhance cold tolerance in response to brief chilling (lasting minutes to hours). This was measured by exposing one group of flies to a mild pre-treatment temperature (4 degrees C) before exposing them to a cold temperature (-6 degrees C), while another group of flies was immediately exposed to the cold temperature. RCH = prop survival after hardening – prop survival without hardening. These flies were reared at 25C and RCH was measured when adults were 7-days old. Higher values indicate a greater plastic response.",Everman and Morgan (2017) Evolution
Rhizobacter.sp..f,0.36,0.3,0.65,0.55,0.14,0.25,0.13,0.3,Female,Microbiome,Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.,Everett et al (2020) Genome Research
Rhizobacter.sp..m,0,1.01,1.01,0,0.12,0.26,0.16,0.12,Male,Microbiome,Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.,Everett et al (2020) Genome Research
ribose-5-P.high.yeast.f,0.29,0.44,0.73,0.4,0.21,0.4,0.2,0.39,Female,Metabolome,Mean relative ribose-5-P concentration extracted from 3 flies that lived as adults on a diet containing 5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).,Jin et al (2020) PLOS Genetics
ribose-5-P.low.yeast.f,0,1.12,1.12,0,0.23,0.47,0.25,0.2,Female,Metabolome,Mean relative ribose-5-P concentration extracted from 3 flies that lived as adults on a diet containing 0.5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).,Jin et al (2020) PLOS Genetics
Saccharomyces.cerevisiae.f,0,1.09,1.09,0,0.17,0.36,0.2,0.16,Female,Microbiome,Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.,Everett et al (2020) Genome Research
Saccharomyces.cerevisiae.m,0,1.11,1.11,0,0.14,0.3,0.18,0.13,Male,Microbiome,Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.,Everett et al (2020) Genome Research
sarcosine.high.yeast.f,0.35,0.32,0.67,0.52,0.19,0.35,0.18,0.41,Female,Metabolome,Mean relative sarcosine concentration extracted from 3 flies that lived as adults on a diet containing 5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).,Jin et al (2020) PLOS Genetics
sarcosine.low.yeast.f,0.23,0.52,0.76,0.31,0.13,0.26,0.14,0.22,Female,Metabolome,Mean relative sarcosine concentration extracted from 3 flies that lived as adults on a diet containing 0.5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).,Jin et al (2020) PLOS Genetics
serine.high.yeast.f,0.29,0.42,0.71,0.41,0.16,0.3,0.16,0.3,Female,Metabolome,Mean relative serine concentration extracted from 3 flies that lived as adults on a diet containing 5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).,Jin et al (2020) PLOS Genetics
serine.low.yeast.f,0.22,0.55,0.77,0.28,0.14,0.27,0.15,0.23,Female,Metabolome,Mean relative serine concentration extracted from 3 flies that lived as adults on a diet containing 0.5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).,Jin et al (2020) PLOS Genetics
sigma.virus.sensitivity.f,0.39,0.22,0.61,0.64,0.14,0.24,0.13,0.33,Female,Pathogen response,"Mean proportion of adults infected with sigma virus (DmelSV), 13 days post infection. Sigma virus is a rhabdovirus that naturally occurs in D. melanogaster. It causes flies paralysis in flies exposed to CO2. Higher values indicate a higher (???) proportion of paralysed flies after exposure to CO2, and therefore greater sensitivity to sigma virus.",Magwire et al (2012) PLOS Genetics
social.aggression.m,0.13,0.74,0.87,0.15,0.35,0.71,0.37,0.47,Male,Behavioural,Mean number of aggressive encounters over a two-minute period between pairs of males; a DGRP male and a control Canton-SB male. The DGRP male was housed in a mixed Sex environment for the 3 days preceding the aggression assay. Higher values indicate more aggressive males.,Rohde et al (2017) Genetics
social.effect.aggression.m,0.48,0.02,0.5,0.96,0.26,0.47,0.23,0.92,Male,Behavioural,"Mean difference in aggressive behavior between male flies raised in social and socially isolated environments. Higher values indicate that males raised in a social environment were more aggressive than males experiencing isolation (the authors adjusted line means to meet normality expectations, we present udjusted means for the social and isolation line means).",Rohde et al (2017) Genetics
sorbitol.high.yeast.f,0,1,1,0,0.21,0.43,0.24,0.21,Female,Metabolome,Mean relative sorbitol concentration extracted from 3 flies that lived as adults on a diet containing 5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).,Jin et al (2020) PLOS Genetics
sorbitol.low.yeast.f,0.21,0.57,0.78,0.27,0.16,0.32,0.17,0.26,Female,Metabolome,Mean relative sorbitol concentration extracted from 3 flies that lived as adults on a diet containing 0.5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).,Jin et al (2020) PLOS Genetics
Sphingomonas.hengshuiensis.f,0,1.05,1.05,0,0.13,0.27,0.16,0.12,Female,Microbiome,Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.,Everett et al (2020) Genome Research
Sphingomonas.hengshuiensis.m,0.2,0.59,0.8,0.25,0.14,0.26,0.14,0.21,Male,Microbiome,Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.,Everett et al (2020) Genome Research
Sphingomonas.parapaucimobilis.f,0,1.03,1.03,0,0.13,0.29,0.17,0.13,Female,Microbiome,Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.,Everett et al (2020) Genome Research
Sphingomonas.parapaucimobilis.m,0,1.24,1.24,0,0.24,0.49,0.27,0.2,Male,Microbiome,Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.,Everett et al (2020) Genome Research
Sphingomonas.phyllosphaerae.f,0,1.15,1.15,0,0.2,0.41,0.23,0.17,Female,Microbiome,Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.,Everett et al (2020) Genome Research
Sphingomonas.phyllosphaerae.m,0.09,0.81,0.9,0.1,0.11,0.22,0.14,0.13,Male,Microbiome,Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.,Everett et al (2020) Genome Research
Sphingomonas.sp..f,0,1.06,1.06,0,0.13,0.28,0.17,0.13,Female,Microbiome,Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.,Everett et al (2020) Genome Research
Sphingomonas.sp..m,0,1.19,1.19,0,0.21,0.42,0.23,0.17,Male,Microbiome,Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.,Everett et al (2020) Genome Research
Sphingomonas.wittichii.f,0.07,0.86,0.93,0.07,0.13,0.26,0.15,0.15,Female,Microbiome,Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.,Everett et al (2020) Genome Research
Sphingomonas.wittichii.m,0,1.3,1.3,0,0.25,0.49,0.27,0.19,Male,Microbiome,Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.,Everett et al (2020) Genome Research
Sporolactobacillus.terrae.f,0.01,0.97,0.99,0.01,0.12,0.26,0.15,0.12,Female,Microbiome,Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.,Everett et al (2020) Genome Research
Sporolactobacillus.terrae.m,0.18,0.64,0.82,0.22,0.14,0.27,0.15,0.2,Male,Microbiome,Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.,Everett et al (2020) Genome Research
sprinter.marathoner.f,0.15,0.7,0.85,0.17,0.19,0.39,0.21,0.26,Female,Activity,The percent of activity performed in the first quarter of a two hour induced exercise period. The author reasons that this is a measure of the tendency to behave like a sprinter versus a marathoner. Note: this data is recoded from that recorded by Watanabe et al (2020).,Riddle (2020) Journal of Experimental Biology
sprinter.marathoner.m,0,1.07,1.07,0,0.2,0.43,0.24,0.19,Male,Activity,"The percent of activity performed in the first quarter of a two hour induced exercise period. The author reasons that this is a measure of the tendency to behave like a sprinter versus a marathoner. Higher values indicate that a greater proportion of activity was completed in the first 30 minutes, which corresponds to a 'sprinter' phenotype. Note: this data is recoded from that recorded by Watanabe et al (2020).",Riddle (2020) Journal of Experimental Biology
