Reference,Trait,# lines measured,Sex,Trait description,Authors,Title,Year,FullTextURL,Age,Sample Size (per sex if applic),Housing,Diet,Temperature,Notes
Zhou et al (2020) Genome Research,1-(1-enyl-palmitoyl)-2-oleoyl-GPC (P-16:0_18:1).m,40,Male,"Metabolites identified by mass spectrometry with scaled measurement for each sample (100 flies, replicated three times). Data were scaled to account for run-day blocks. Higher values indicate greater quantities.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Zhou et al (2020) Genome Research,1-(1-enyl-palmitoyl)-2-oleoyl-GPE (P-16:0_18:1).f,40,Female,"Metabolites identified by mass spectrometry with scaled measurement for each sample (100 flies, replicated three times). Data were scaled to account for run-day blocks. Higher values indicate greater quantities.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Zhou et al (2020) Genome Research,1-(1-enyl-palmitoyl)-2-oleoyl-GPE (P-16:0_18:1).m,40,Male,"Metabolites identified by mass spectrometry with scaled measurement for each sample (100 flies, replicated three times). Data were scaled to account for run-day blocks. Higher values indicate greater quantities.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Zhou et al (2020) Genome Research,1-(1-enyl-palmitoyl)-2-palmitoleoyl-GPC (P-16:0_16:1).m,40,Male,"Metabolites identified by mass spectrometry with scaled measurement for each sample (100 flies, replicated three times). Data were scaled to account for run-day blocks. Higher values indicate greater quantities.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Zhou et al (2020) Genome Research,1-(1-enyl-palmitoyl)-GPE (P-16:0).f,40,Female,"Metabolites identified by mass spectrometry with scaled measurement for each sample (100 flies, replicated three times). Data were scaled to account for run-day blocks. Higher values indicate greater quantities.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Zhou et al (2020) Genome Research,1-(1-enyl-palmitoyl)-GPE (P-16:0).m,40,Male,"Metabolites identified by mass spectrometry with scaled measurement for each sample (100 flies, replicated three times). Data were scaled to account for run-day blocks. Higher values indicate greater quantities.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Zhou et al (2020) Genome Research,1-(1-enyl-stearoyl)-2-linoleoyl-GPE (P-18:0_18:2).f,40,Female,"Metabolites identified by mass spectrometry with scaled measurement for each sample (100 flies, replicated three times). Data were scaled to account for run-day blocks. Higher values indicate greater quantities.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Zhou et al (2020) Genome Research,1-(1-enyl-stearoyl)-2-linoleoyl-GPE (P-18:0_18:2).m,40,Male,"Metabolites identified by mass spectrometry with scaled measurement for each sample (100 flies, replicated three times). Data were scaled to account for run-day blocks. Higher values indicate greater quantities.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Zhou et al (2020) Genome Research,1-(1-enyl-stearoyl)-2-oleoyl-GPE (P-18:0_18:1).f,40,Female,"Metabolites identified by mass spectrometry with scaled measurement for each sample (100 flies, replicated three times). Data were scaled to account for run-day blocks. Higher values indicate greater quantities.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Zhou et al (2020) Genome Research,1-(1-enyl-stearoyl)-2-oleoyl-GPE (P-18:0_18:1).m,40,Male,"Metabolites identified by mass spectrometry with scaled measurement for each sample (100 flies, replicated three times). Data were scaled to account for run-day blocks. Higher values indicate greater quantities.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Zhou et al (2020) Genome Research,1-(1-enyl-stearoyl)-GPE (P-18:0).f,40,Female,"Metabolites identified by mass spectrometry with scaled measurement for each sample (100 flies, replicated three times). Data were scaled to account for run-day blocks. Higher values indicate greater quantities.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Zhou et al (2020) Genome Research,1-(1-enyl-stearoyl)-GPE (P-18:0).m,40,Male,"Metabolites identified by mass spectrometry with scaled measurement for each sample (100 flies, replicated three times). Data were scaled to account for run-day blocks. Higher values indicate greater quantities.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Zhou et al (2020) Genome Research,1-kestose.f,40,Female,"Metabolites identified by mass spectrometry with scaled measurement for each sample (100 flies, replicated three times). Data were scaled to account for run-day blocks. Higher values indicate greater quantities.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Zhou et al (2020) Genome Research,1-kestose.m,40,Male,"Metabolites identified by mass spectrometry with scaled measurement for each sample (100 flies, replicated three times). Data were scaled to account for run-day blocks. Higher values indicate greater quantities.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Zhou et al (2020) Genome Research,1-linolenoyl-GPC (18:3).f,40,Female,"Metabolites identified by mass spectrometry with scaled measurement for each sample (100 flies, replicated three times). Data were scaled to account for run-day blocks. Higher values indicate greater quantities.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Zhou et al (2020) Genome Research,1-linolenoyl-GPC (18:3).m,40,Male,"Metabolites identified by mass spectrometry with scaled measurement for each sample (100 flies, replicated three times). Data were scaled to account for run-day blocks. Higher values indicate greater quantities.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Zhou et al (2020) Genome Research,1-linoleoyl-2-linolenoyl-galactosylglycerol (18:2_18:3).f,40,Female,"Metabolites identified by mass spectrometry with scaled measurement for each sample (100 flies, replicated three times). Data were scaled to account for run-day blocks. Higher values indicate greater quantities.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Zhou et al (2020) Genome Research,1-linoleoyl-2-linolenoyl-galactosylglycerol (18:2_18:3).m,40,Male,"Metabolites identified by mass spectrometry with scaled measurement for each sample (100 flies, replicated three times). Data were scaled to account for run-day blocks. Higher values indicate greater quantities.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Zhou et al (2020) Genome Research,1-linoleoyl-2-linolenoyl-GPC (18:2_18:3).f,40,Female,"Metabolites identified by mass spectrometry with scaled measurement for each sample (100 flies, replicated three times). Data were scaled to account for run-day blocks. Higher values indicate greater quantities.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Zhou et al (2020) Genome Research,1-linoleoyl-2-linolenoyl-GPC (18:2_18:3).m,40,Male,"Metabolites identified by mass spectrometry with scaled measurement for each sample (100 flies, replicated three times). Data were scaled to account for run-day blocks. Higher values indicate greater quantities.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Zhou et al (2020) Genome Research,1-linoleoyl-GPA (18:2).f,40,Female,"Metabolites identified by mass spectrometry with scaled measurement for each sample (100 flies, replicated three times). Data were scaled to account for run-day blocks. Higher values indicate greater quantities.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Zhou et al (2020) Genome Research,1-linoleoyl-GPA (18:2).m,40,Male,"Metabolites identified by mass spectrometry with scaled measurement for each sample (100 flies, replicated three times). Data were scaled to account for run-day blocks. Higher values indicate greater quantities.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Zhou et al (2020) Genome Research,1-linoleoyl-GPC (18:2).f,40,Female,"Metabolites identified by mass spectrometry with scaled measurement for each sample (100 flies, replicated three times). Data were scaled to account for run-day blocks. Higher values indicate greater quantities.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Zhou et al (2020) Genome Research,1-linoleoyl-GPC (18:2).m,40,Male,"Metabolites identified by mass spectrometry with scaled measurement for each sample (100 flies, replicated three times). Data were scaled to account for run-day blocks. Higher values indicate greater quantities.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Zhou et al (2020) Genome Research,1-linoleoyl-GPE (18:2).f,40,Female,"Metabolites identified by mass spectrometry with scaled measurement for each sample (100 flies, replicated three times). Data were scaled to account for run-day blocks. Higher values indicate greater quantities.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Zhou et al (2020) Genome Research,1-linoleoyl-GPE (18:2).m,40,Male,"Metabolites identified by mass spectrometry with scaled measurement for each sample (100 flies, replicated three times). Data were scaled to account for run-day blocks. Higher values indicate greater quantities.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Zhou et al (2020) Genome Research,1-linoleoyl-GPG (18:2).f,40,Female,"Metabolites identified by mass spectrometry with scaled measurement for each sample (100 flies, replicated three times). Data were scaled to account for run-day blocks. Higher values indicate greater quantities.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Zhou et al (2020) Genome Research,1-linoleoyl-GPG (18:2).m,40,Male,"Metabolites identified by mass spectrometry with scaled measurement for each sample (100 flies, replicated three times). Data were scaled to account for run-day blocks. Higher values indicate greater quantities.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Zhou et al (2020) Genome Research,1-linoleoyl-GPI (18:2).f,40,Female,"Metabolites identified by mass spectrometry with scaled measurement for each sample (100 flies, replicated three times). Data were scaled to account for run-day blocks. Higher values indicate greater quantities.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Zhou et al (2020) Genome Research,1-linoleoyl-GPI (18:2).m,40,Male,"Metabolites identified by mass spectrometry with scaled measurement for each sample (100 flies, replicated three times). Data were scaled to account for run-day blocks. Higher values indicate greater quantities.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Zhou et al (2020) Genome Research,1-linoleoyl-GPS (18:2).f,40,Female,"Metabolites identified by mass spectrometry with scaled measurement for each sample (100 flies, replicated three times). Data were scaled to account for run-day blocks. Higher values indicate greater quantities.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Zhou et al (2020) Genome Research,1-linoleoyl-GPS (18:2).m,40,Male,"Metabolites identified by mass spectrometry with scaled measurement for each sample (100 flies, replicated three times). Data were scaled to account for run-day blocks. Higher values indicate greater quantities.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Zhou et al (2020) Genome Research,1-linoleoylglycerol (18:2).f,40,Female,"Metabolites identified by mass spectrometry with scaled measurement for each sample (100 flies, replicated three times). Data were scaled to account for run-day blocks. Higher values indicate greater quantities.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Zhou et al (2020) Genome Research,1-linoleoylglycerol (18:2).m,40,Male,"Metabolites identified by mass spectrometry with scaled measurement for each sample (100 flies, replicated three times). Data were scaled to account for run-day blocks. Higher values indicate greater quantities.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Zhou et al (2020) Genome Research,1-methyladenine.f,40,Female,"Metabolites identified by mass spectrometry with scaled measurement for each sample (100 flies, replicated three times). Data were scaled to account for run-day blocks. Higher values indicate greater quantities.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Zhou et al (2020) Genome Research,1-methyladenine.m,40,Male,"Metabolites identified by mass spectrometry with scaled measurement for each sample (100 flies, replicated three times). Data were scaled to account for run-day blocks. Higher values indicate greater quantities.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Zhou et al (2020) Genome Research,1-methylhistamine.f,40,Female,"Metabolites identified by mass spectrometry with scaled measurement for each sample (100 flies, replicated three times). Data were scaled to account for run-day blocks. Higher values indicate greater quantities.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Zhou et al (2020) Genome Research,1-methylhistamine.m,40,Male,"Metabolites identified by mass spectrometry with scaled measurement for each sample (100 flies, replicated three times). Data were scaled to account for run-day blocks. Higher values indicate greater quantities.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Zhou et al (2020) Genome Research,1-methylhistidine.f,40,Female,"Metabolites identified by mass spectrometry with scaled measurement for each sample (100 flies, replicated three times). Data were scaled to account for run-day blocks. Higher values indicate greater quantities.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Zhou et al (2020) Genome Research,1-methylhistidine.m,40,Male,"Metabolites identified by mass spectrometry with scaled measurement for each sample (100 flies, replicated three times). Data were scaled to account for run-day blocks. Higher values indicate greater quantities.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Zhou et al (2020) Genome Research,1-methylimidazoleacetate.f,40,Female,"Metabolites identified by mass spectrometry with scaled measurement for each sample (100 flies, replicated three times). Data were scaled to account for run-day blocks. Higher values indicate greater quantities.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
